,cation,stable_min_eV,stable_max_eV,stable_window_eV
0,Ce,-3.727993354999999,0.0,3.727993354999999
1,Zr,-5.628303077999998,0.0,5.628303077999998
2,Hf,-6.02971656125,0.0,6.02971656125
3,Ti,-4.475198554999999,0.0,4.475198554999999
4,Sn,-3.0570108687499964,0.0,3.0570108687499964
