composition,total energy (eV/atom),formation energy (eV/atom),decomposition energy (eV/atom),decomposition reaction,AO mixing energy (eV/atom),stddev bonds (Angstroms),chempot overlap (eV)
MgCaMnNiCuZn,-6.416572,-1.950343,0.133538,0.22(Mg3NiO4) + 0.11(CaCu3O4) + 0.29(CaMn2O4) + 0.17(ZnO) + 0.06(CaO) + 0.04(Cu) + 0.11(NiO),0.077658,0.155569,-0.6399
MgCaFeCoNiCu,-6.670754,-1.77481,0.155234,0.22(Mg3NiO4) + 0.38(Ca2Fe2O5) + 0.12(Cu2O) + 0.17(CoO) + 0.11(NiO),0.073764,0.142108,-0.7896
MgCaFeCoNiZn,-6.565565,-1.906243,0.140214,0.22(Mg3NiO4) + 0.38(Ca2Fe2O5) + 0.17(CoO) + 0.17(ZnO) + 0.04(Ni) + 0.03(NiO),0.084002,0.080494,-0.1911
MgCaFeCoCuZn,-6.392266,-1.873021,0.150061,0.38(Ca2Fe2O5) + 0.17(CoO) + 0.17(ZnO) + 0.17(MgO) + 0.12(Cu2O),0.077254,0.162676,-0.7896
MgCaFeNiCuZn,-6.275544,-1.866981,0.147483,0.22(Mg3NiO4) + 0.12(Cu2O) + 0.38(Ca2Fe2O5) + 0.17(ZnO) + 0.11(NiO),0.079125,0.151186,-0.7896
MgCaCoNiCuZn,-6.103832,-1.808744,0.13231,0.22(Mg3NiO4) + 0.22(CaCu3O4) + 0.17(CoO) + 0.17(ZnO) + 0.11(CaO) + 0.11(NiO),0.095888,0.142295,0.4363
MgMnFeCoNiCu,-7.056447,-1.564135,0.156952,0.22(Mg3NiO4) + 0.29(Fe2NiO4) + 0.29(Mn2CoO4) + 0.08(CoO) + 0.08(Cu) + 0.03(NiO),0.057737,0.094142,-0.7896
MgMnFeCoNiZn,-6.948024,-1.692334,0.134096,0.22(Mg3NiO4) + 0.17(CoO) + 0.29(Mn(FeO2)2) + 0.17(ZnO) + 0.10(Mn3O4) + 0.06(Ni),0.07121,0.035527,-0.1911
MgMnFeCoCuZn,-6.769802,-1.65419,0.159413,0.17(MnCuO2) + 0.17(CoO) + 0.29(Mn(FeO2)2) + 0.17(ZnO) + 0.17(MgO) + 0.04(Cu),0.069384,0.103638,-0.7896
MgMnFeNiCuZn,-6.657536,-1.652605,0.15238,0.22(Mg3NiO4) + 0.17(MnCuO2) + 0.29(Mn(FeO2)2) + 0.17(ZnO) + 0.04(Cu) + 0.11(NiO),0.066799,0.098126,-0.7896
MgMnCoNiCuZn,-6.495203,-1.603748,0.136388,0.22(Mg3NiO4) + 0.33(MnCuO2) + 0.17(CoO) + 0.17(ZnO) + 0.11(NiO),0.074183,0.091067,-0.6399
MgFeCoNiCuZn,-6.351947,-1.518158,0.151845,0.22(Mg3NiO4) + 0.12(Cu2O) + 0.29(Fe2NiO4) + 0.17(CoO) + 0.17(ZnO) + 0.03(NiO),0.077878,0.083074,-0.7896
CaMnFeCoNiCu,-7.142042,-1.615953,0.156905,0.19(Ca2Fe2O5) + 0.15(Fe2NiO4) + 0.29(CaMn2O4) + 0.17(CoO) + 0.08(Cu) + 0.12(NiO),0.056258,0.15142,-0.7896
CaMnFeCoNiZn,-7.026376,-1.73691,0.133972,0.23(Ca2Fe2O5) + 0.23(CaMn2O4) + 0.17(CoO) + 0.12(Mn(FeO2)2) + 0.17(ZnO) + 0.07(Ni) + 0.02(NiO),0.076973,0.079163,-0.1911
CaMnFeCoCuZn,-6.857167,-1.707778,0.159137,0.29(CaMn2O4) + 0.15(Zn(FeO2)2) + 0.19(Ca2Fe2O5) + 0.17(CoO) + 0.12(ZnO) + 0.08(Cu),0.066134,0.177575,-0.7896
CaMnFeNiCuZn,-6.740033,-1.701326,0.155952,0.29(CaMn2O4) + 0.15(Fe2NiO4) + 0.19(Ca2Fe2O5) + 0.17(ZnO) + 0.08(Cu) + 0.12(NiO),0.068417,0.168963,-0.7896
CaMnCoNiCuZn,-6.576508,-1.651276,0.136074,0.10(CaCu3O4) + 0.13(Ca3MnCoO6) + 0.25(CaMn2O4) + 0.14(CoO) + 0.17(ZnO) + 0.05(Cu) + 0.17(NiO),0.076994,0.165086,-0.6399
CaFeCoNiCuZn,-6.431442,-1.563876,0.153319,0.12(Cu2O) + 0.38(Ca2Fe2O5) + 0.17(CoO) + 0.17(ZnO) + 0.17(NiO),0.082498,0.160161,-0.7896
MnFeCoNiCuZn,-6.812614,-1.34868,0.159558,0.29(Mn2CoO4) + 0.29(Fe2NiO4) + 0.08(CoO) + 0.17(ZnO) + 0.08(Cu) + 0.08(NiO),0.070993,0.104492,-0.7896
