combo,overlap (eV)
MgCaMnFeCo,-0.0585
MgCaMnFeNi,-0.1911
MgCaMnFeCu,-0.7896
MgCaMnFeZn,0.3357
MgCaMnCoNi,-0.0414
MgCaMnCoCu,-0.6399
MgCaMnCoZn,0.0912
MgCaMnNiCu,-0.6399
MgCaMnNiZn,-0.0414
MgCaMnCuZn,-0.6399
MgCaFeCoNi,-0.1911
MgCaFeCoCu,-0.7896
MgCaFeCoZn,-0.0585
MgCaFeNiCu,-0.7896
MgCaFeNiZn,-0.1911
MgCaFeCuZn,-0.7896
MgCaCoNiCu,0.4363
MgCaCoNiZn,1.0348
MgCaCoCuZn,0.4363
MgCaNiCuZn,1.4432
MgMnFeCoNi,-0.1911
MgMnFeCoCu,-0.7896
MgMnFeCoZn,-0.0585
MgMnFeNiCu,-0.7896
MgMnFeNiZn,-0.1911
MgMnFeCuZn,-0.7896
MgMnCoNiCu,-0.6399
MgMnCoNiZn,-0.0414
MgMnCoCuZn,-0.6399
MgMnNiCuZn,-0.6399
MgFeCoNiCu,-0.7896
MgFeCoNiZn,-0.1911
MgFeCoCuZn,-0.7896
MgFeNiCuZn,-0.7896
MgCoNiCuZn,0.4363
CaMnFeCoNi,-0.1911
CaMnFeCoCu,-0.7896
CaMnFeCoZn,-0.0585
CaMnFeNiCu,-0.7896
CaMnFeNiZn,-0.1911
CaMnFeCuZn,-0.7896
CaMnCoNiCu,-0.6399
CaMnCoNiZn,-0.0414
CaMnCoCuZn,-0.6399
CaMnNiCuZn,-0.6399
CaFeCoNiCu,-0.7896
CaFeCoNiZn,-0.1911
CaFeCoCuZn,-0.7896
CaFeNiCuZn,-0.7896
CaCoNiCuZn,0.4363
MnFeCoNiCu,-0.7896
MnFeCoNiZn,-0.1911
MnFeCoCuZn,-0.7896
MnFeNiCuZn,-0.7896
MnCoNiCuZn,-0.6399
FeCoNiCuZn,-0.7896
