cation,stable_min_eV,stable_max_eV,stable_window_eV
Y,-6.6182001290277785,0.0,6.6182001290277785
La,-6.456905160416667,0.0,6.456905160416667
Zr,-5.628303077999998,0.0,5.628303077999998
Ce,-3.727993354999999,0.0,3.727993354999999
Pr,-6.225161084583334,0.0,6.225161084583334
Sm,-6.436587445416665,0.0,6.436587445416665
