cation,Y3+,La3+,Pr3+,Sm3+,Ce3.0+,Ce3.4+,Ce3.6+,Ce4.0+
stable_min_eV,-6.6182001290277785,-6.456905160416667,-6.225161084583334,-6.436587445416665,-5.912330431250005,-5.659904,-4.695427,-3.727993
stable_max_eV,0.0,0.0,0.0,0.0,-5.659903757083315,-4.695427,-3.727993,0.0
stable_window_eV,6.6182001290277785,6.456905160416667,6.225161084583334,6.436587445416665,0.2524266741666903,,,
