combo,overlap (eV)
MgCa,6.0992
MgTi,0.6397
MgMn,1.4807
MgFe,0.3536
MgCo,1.1674
MgNi,2.4175
MgCu,1.4432
MgZn,3.5818
CaTi,0.6397
CaMn,1.4807
CaFe,0.3536
CaCo,1.1674
CaNi,2.4175
CaCu,1.4432
CaZn,3.5742
TiMn,-0.927
TiFe,-1.9224
TiCo,-2.3166
TiNi,-2.4492
TiCu,-3.0477
TiZn,-1.3036
MnFe,0.3536
MnCo,0.0911
MnNi,-0.0415
MnCu,-0.64
MnZn,1.1041
FeCo,-0.0406
FeNi,-0.1732
FeCu,-0.7717
FeZn,0.3536
CoNi,1.0348
CoCu,0.4363
CoZn,1.1674
NiCu,1.4432
NiZn,2.4175
CuZn,1.4432
