cation,stable_min_eV,stable_max_eV,stable_window_eV
Y3+,-6.6182001290277785,0.0,6.6182001290277785
La3+,-6.456905160416667,0.0,6.456905160416667
Pr3+,-6.225161084583334,0.0,6.225161084583334
Sm3+,-6.436587445416665,0.0,6.436587445416665
Ce3.0+,-5.912330431250005,-5.659903757083315,0.2524266741666903
Ce3.4+,-5.659904,-4.695427,
Ce3.6+,-4.695427,-3.727993,
Ce4.0+,-3.727993,0.000000,
