combo,overlap (eV)
MgCaMnFe,0.3357
MgCaMnCo,0.0912
MgCaMnNi,-0.0414
MgCaMnCu,-0.6399
MgCaMnZn,1.1042
MgCaFeCo,-0.0585
MgCaFeNi,-0.1911
MgCaFeCu,-0.7896
MgCaFeZn,0.3357
MgCaCoNi,1.0348
MgCaCoCu,0.4363
MgCaCoZn,1.1674
MgCaNiCu,1.4432
MgCaNiZn,2.4175
MgCaCuZn,1.4432
MgMnFeCo,-0.0585
MgMnFeNi,-0.1911
MgMnFeCu,-0.7896
MgMnFeZn,0.3357
MgMnCoNi,-0.0414
MgMnCoCu,-0.6399
MgMnCoZn,0.0912
MgMnNiCu,-0.6399
MgMnNiZn,-0.0414
MgMnCuZn,-0.6399
MgFeCoNi,-0.1911
MgFeCoCu,-0.7896
MgFeCoZn,-0.0585
MgFeNiCu,-0.7896
MgFeNiZn,-0.1911
MgFeCuZn,-0.7896
MgCoNiCu,0.4363
MgCoNiZn,1.0348
MgCoCuZn,0.4363
MgNiCuZn,1.4432
CaMnFeCo,-0.0585
CaMnFeNi,-0.1911
CaMnFeCu,-0.7896
CaMnFeZn,0.3357
CaMnCoNi,-0.0414
CaMnCoCu,-0.6399
CaMnCoZn,0.0912
CaMnNiCu,-0.6399
CaMnNiZn,-0.0414
CaMnCuZn,-0.6399
CaFeCoNi,-0.1911
CaFeCoCu,-0.7896
CaFeCoZn,-0.0585
CaFeNiCu,-0.7896
CaFeNiZn,-0.1911
CaFeCuZn,-0.7896
CaCoNiCu,0.4363
CaCoNiZn,1.0348
CaCoCuZn,0.4363
CaNiCuZn,1.4432
MnFeCoNi,-0.1911
MnFeCoCu,-0.7896
MnFeCoZn,-0.0585
MnFeNiCu,-0.7896
MnFeNiZn,-0.1911
MnFeCuZn,-0.7896
MnCoNiCu,-0.6399
MnCoNiZn,-0.0414
MnCoCuZn,-0.6399
MnNiCuZn,-0.6399
FeCoNiCu,-0.7896
FeCoNiZn,-0.1911
FeCoCuZn,-0.7896
FeNiCuZn,-0.7896
CoNiCuZn,0.4363
