cation,Y,La,Ce,Pr,Sm
stable_min_eV,-6.6182001290277785,-6.456905160416667,-5.912330431250005,-6.225161084583334,-6.436587445416665
stable_max_eV,0.0,0.0,-5.659903757083315,0.0,0.0
stable_window_eV,6.6182001290277785,6.456905160416667,0.2524266741666903,6.225161084583334,6.436587445416665
