cation,Y,La,Zr,Ce,Pr,Sm
stable_min_eV,-6.6182001290277785,-6.456905160416667,-5.628303077999998,-3.727993354999999,-6.225161084583334,-6.436587445416665
stable_max_eV,0.0,0.0,0.0,0.0,0.0,0.0
stable_window_eV,6.6182001290277785,6.456905160416667,5.628303077999998,3.727993354999999,6.225161084583334,6.436587445416665
